state,contribs-count,contribs-sum
AL,5,11400
KY,18,56200
LA,14,57500
MI,36,82900
CA,67,132750
VA,28,79500
MA,25,49200
DE,13,39000
PA,60,149950
FL,19,51350
IL,35,94700
WI,12,18700
MN,16,61950
NJ,31,75000
NY,34,103450
TX,45,110200
NV,8,23750
OK,11,31500
MO,22,57500
IN,8,18900
AZ,13,24400
OH,40,122950
TN,18,70000
WV,10,30550
MS,9,21000
ID,6,11500
CO,19,69100
KS,22,51600
MT,9,23350
GA,21,60500
NC,26,105000
AR,11,34500
SC,12,32500
MD,9,21000
OR,17,30000
VT,5,19000
AK,8,33500
ME,4,27000
RI,8,36500
SD,9,34500
UT,7,20000
WA,18,44500
WY,9,22500
NE,7,21500
IA,7,35000
CT,12,28500
NH,10,24000
VI,2,4000
NM,8,31500
ND,1,1000
HI,2,11000
DC,1,6500
,0,0